LOJA;NOME;INAUGURACAO;AREA_LOJA;ENDERECO;CIDADE;UF;REGIAO;PAIS
SJRP-SP;São José do Rio Preto;11/01/2018;1.208;Av. Pres. Juscelino K. Oliveira, 400;São José do Rio Preto;SP;Sudeste;BRASIL
BQMA-SP;Bosque Maia;26/02/2018;919;Av. Paulo Faccini, 1385;Guarulhos;SP;Sudeste;BRASIL
ANHM-SP;Anhaia Mello;29/03/2018;946;Av. Prof. Luiz Ignacio Anhaia Mello, 5657 - Junto Ao Roldão;São Paulo;SP;Sudeste;BRASIL
PBAR-SP;Pereira Barreto;05/04/2018;1.037;Rua Thales Dos Santos Freire, 36/40 - Quadra 8B Lot 26,27,28,29 E 30;São Bernardo do Campo;SP;Sudeste;BRASIL
RAJA-MG;Raja Gabaglia;28/06/2018;463;Av. Raja Gabaglia, 3230;Belo Horizonte;MG;Sudeste;BRASIL
CGDE-MS;Campo Grande;08/08/2018;1.237;Av. Afonso Pena, 5420;Campo Grande;MS;Centro-Oeste;BRASIL
RJAF-SP;Ricardo Jafet;15/08/2018;2.616;Av. Dr. Ricardo Jafet, 1750;São Paulo;SP;Sudeste;BRASIL
RDLT-SP;Radial Leste;04/09/2018;1.166;Av. Alcântara Machado , 3300;São Paulo;SP;Sudeste;BRASIL
ARAC-SP;Araçatuba;22/10/2018;702;Av. Brasília, 2737;Araçatuba;SP;Sudeste;BRASIL
INDT-SP;Indaiatuba;05/11/2018;855;Alameda Filtros Mann, 670 - Polo Shopping Indaiatuba;Indaiatuba;SP;Sudeste;BRASIL
CPCB-RJ;Copacabana;09/11/2018;335;Av. Nossa Senhora De Copacabana, 1246;Rio de Janeiro;RJ;Sudeste;BRASIL
FLNP-SC;Florianópolis;16/11/2018;1.246;Rod. José Carlos Daux, 5500 - Square Sc Corporate;Florianópolis;SC;Sul;BRASIL
CGHS-SP;Congonhas;27/11/2018;1.048;Av. Moreira Guimarães, 631 - 657;São Paulo;SP;Sudeste;BRASIL
CLNS-SP;Extra Colinas;05/12/2018;862;Av. Jorge Zarur, 100;São José dos Campos;SP;Sudeste;BRASIL
